company ,login_times,login_day
346782,1,0
346782,0,1
346782,1,2
346782,0,3
346782,1,4
346782,0,5
346782,0,6
346783,0,0
346783,0,1
346783,0,2
346783,0,3
346783,0,4
346783,0,5
346783,0,6
346784,1,0
346784,0,1
346784,0,2
346784,1,3
346784,4,4
346784,1,5
346784,0,6
346785,0,0
346785,0,1
346785,0,2
346785,0,3
346785,0,4
346785,0,5
346785,0,6
346786,0,0
346786,0,1
346786,0,2
346786,0,3
346786,0,4
346786,0,5
346786,0,6
346787,0,0
346787,0,1
346787,0,2
346787,0,3
346787,1,4
346787,0,5
346787,0,6
346788,0,0
346788,0,1
346788,0,2
346788,0,3
346788,0,4
346788,0,5
346788,0,6
346789,0,0
346789,0,1
346789,0,2
346789,0,3
346789,0,4
346789,0,5
346789,0,6
346790,0,0
346790,0,1
346790,0,2
346790,0,3
346790,0,4
346790,0,5
346790,0,6
346791,0,0
346791,0,1
346791,0,2
346791,0,3
346791,1,4
346791,1,5
346791,0,6
346792,2,0
346792,1,1
346792,2,2
346792,1,3
346792,0,4
346792,1,5
346792,0,6
346793,0,0
346793,0,1
346793,0,2
346793,0,3
346793,0,4
346793,0,5
346793,0,6
346794,0,0
346794,0,1
346794,0,2
346794,0,3
346794,0,4
346794,1,5
346794,0,6
346795,0,0
346795,0,1
346795,0,2
346795,0,3
346795,0,4
346795,0,5
346795,2,6
346796,1,0
346796,1,1
346796,3,2
346796,3,3
346796,2,4
346796,0,5
346796,1,6
346797,1,0
346797,0,1
346797,0,2
346797,0,3
346797,1,4
346797,0,5
346797,0,6
346798,0,0
346798,0,1
346798,1,2
346798,0,3
346798,0,4
346798,0,5
346798,0,6
346799,0,0
346799,2,1
346799,0,2
346799,0,3
346799,0,4
346799,0,5
346799,0,6
346800,0,0
346800,0,1
346800,0,2
346800,0,3
346800,0,4
346800,1,5
346800,0,6
346801,0,0
346801,1,1
346801,0,2
346801,0,3
346801,0,4
346801,0,5
346801,0,6
346802,1,0
346802,0,1
346802,0,2
346802,0,3
346802,0,4
346802,0,5
346802,1,6
346803,0,0
346803,1,1
346803,1,2
346803,4,3
346803,0,4
346803,0,5
346803,0,6
346804,0,0
346804,0,1
346804,0,2
346804,0,3
346804,0,4
346804,0,5
346804,0,6
346805,1,0
346805,0,1
346805,0,2
346805,2,3
346805,0,4
346805,1,5
346805,1,6
346806,0,0
346806,0,1
346806,0,2
346806,0,3
346806,0,4
346806,0,5
346806,1,6
346807,0,0
346807,0,1
346807,1,2
346807,0,3
346807,1,4
346807,0,5
346807,0,6
346808,1,0
346808,0,1
346808,1,2
346808,0,3
346808,2,4
346808,0,5
346808,0,6
346809,0,0
346809,0,1
346809,0,2
346809,0,3
346809,0,4
346809,0,5
346809,0,6
346810,0,0
346810,0,1
346810,0,2
346810,0,3
346810,0,4
346810,0,5
346810,1,6
346811,0,0
346811,0,1
346811,0,2
346811,0,3
346811,0,4
346811,0,5
346811,0,6
346812,0,0
346812,0,1
346812,2,2
346812,0,3
346812,0,4
346812,0,5
346812,0,6
346813,0,0
346813,0,1
346813,0,2
346813,0,3
346813,0,4
346813,0,5
346813,0,6
346814,0,0
346814,0,1
346814,0,2
346814,1,3
346814,0,4
346814,0,5
346814,0,6
346815,0,0
346815,0,1
346815,1,2
346815,0,3
346815,0,4
346815,0,5
346815,0,6
346816,0,0
346816,3,1
346816,3,2
346816,1,3
346816,0,4
346816,2,5
346816,0,6
346817,0,0
346817,0,1
346817,1,2
346817,1,3
346817,0,4
346817,2,5
346817,0,6
346818,1,0
346818,1,1
346818,0,2
346818,0,3
346818,0,4
346818,0,5
346818,0,6
346819,0,0
346819,3,1
346819,2,2
346819,1,3
346819,4,4
346819,1,5
346819,0,6
346820,1,0
346820,1,1
346820,0,2
346820,0,3
346820,0,4
346820,0,5
346820,0,6
346821,0,0
346821,1,1
346821,3,2
346821,0,3
346821,0,4
346821,0,5
346821,0,6
346822,0,0
346822,1,1
346822,0,2
346822,1,3
346822,1,4
346822,0,5
346822,0,6
346823,0,0
346823,0,1
346823,0,2
346823,1,3
346823,0,4
346823,0,5
346823,0,6
346824,1,0
346824,0,1
346824,0,2
346824,0,3
346824,0,4
346824,0,5
346824,0,6
346825,0,0
346825,0,1
346825,0,2
346825,0,3
346825,0,4
346825,0,5
346825,1,6
346826,0,0
346826,0,1
346826,1,2
346826,0,3
346826,1,4
346826,0,5
346826,0,6
346827,2,0
346827,2,1
346827,0,2
346827,1,3
346827,1,4
346827,2,5
346827,3,6
346828,0,0
346828,0,1
346828,0,2
346828,0,3
346828,1,4
346828,1,5
346828,0,6
346829,0,0
346829,0,1
346829,0,2
346829,0,3
346829,1,4
346829,0,5
346829,0,6
346830,0,0
346830,0,1
346830,1,2
346830,0,3
346830,1,4
346830,0,5
346830,0,6
346831,0,0
346831,0,1
